"	date",id_station,id_parameter,value,unit
04/01/2019,UIZ,PM2.5,25,2
04/01/2019,VIF,PM10,98,2
04/01/2019,XAL,PM10,108,2
04/01/2019,XAL,PM2.5,45,2
04/01/2019,CCA,PM2.5,25,2
04/01/2019,MGH,PM10,58,2
04/01/2019,MGH,PM2.5,36,2
04/01/2019,AJM,PM10,50,2
04/01/2019,AJM,PM2.5,28,2
04/01/2019,BJU,PM10,58,2
04/01/2019,BJU,PM2.5,31,2
04/01/2019,GAM,PM10,63,2
04/01/2019,GAM,PM2.5,31,2
05/01/2019,ACO,PM10,66,2
05/01/2019,AJU,PM2.5,26,2
05/01/2019,ATI,PM10,65,2
05/01/2019,CAM,PM10,72,2
05/01/2019,CAM,PM2.5,38,2
05/01/2019,MON,PM2.5,37,2
05/01/2019,CHO,PM10,78,2
05/01/2019,CUA,PM10,47,2
05/01/2019,CUT,PM10,67,2
05/01/2019,FAC,PM10,50,2
05/01/2019,HGM,PM10,71,2
05/01/2019,HGM,PM2.5,41,2
05/01/2019,IZT,PM10,80,2
05/01/2019,MER,PM10,87,2
05/01/2019,MER,PM2.5,42,2
05/01/2019,NEZ,PM2.5,37,2
05/01/2019,SFE,PM10,54,2
05/01/2019,SFE,PM2.5,29,2
05/01/2019,TAH,PM10,76,2
05/01/2019,TLA,PM10,64,2
05/01/2019,TLA,PM2.5,31,2
05/01/2019,UAX,PM2.5,34,2
05/01/2019,UIZ,PM10,74,2
05/01/2019,UIZ,PM2.5,39,2
05/01/2019,VIF,PM10,72,2
05/01/2019,XAL,PM10,118,2
05/01/2019,XAL,PM2.5,47,2
05/01/2019,CCA,PM2.5,30,2
05/01/2019,MGH,PM10,56,2
05/01/2019,MGH,PM2.5,34,2
05/01/2019,AJM,PM10,56,2
05/01/2019,AJM,PM2.5,30,2
05/01/2019,BJU,PM10,66,2
05/01/2019,BJU,PM2.5,37,2
05/01/2019,INN,PM10,46,2
05/01/2019,INN,PM2.5,28,2
05/01/2019,GAM,PM10,86,2
05/01/2019,GAM,PM2.5,43,2
06/01/2019,ACO,PM10,61,2
06/01/2019,AJU,PM2.5,27,2
06/01/2019,ATI,PM10,46,2
06/01/2019,CAM,PM10,53,2
06/01/2019,CAM,PM2.5,29,2
06/01/2019,MON,PM2.5,28,2
06/01/2019,CHO,PM10,62,2
06/01/2019,CUA,PM10,39,2
06/01/2019,CUT,PM10,48,2
06/01/2019,FAC,PM10,40,2
06/01/2019,HGM,PM10,54,2
06/01/2019,HGM,PM2.5,31,2
06/01/2019,IZT,PM10,66,2
06/01/2019,MER,PM10,66,2
06/01/2019,MER,PM2.5,31,2
06/01/2019,NEZ,PM2.5,29,2
06/01/2019,SAG,PM10,74,2
06/01/2019,SAG,PM2.5,28,2
06/01/2019,SFE,PM10,43,2
06/01/2019,SFE,PM2.5,24,2
06/01/2019,TAH,PM10,65,2
06/01/2019,TLA,PM10,44,2
06/01/2019,TLA,PM2.5,20,2
06/01/2019,UAX,PM2.5,33,2
06/01/2019,UIZ,PM10,60,2
06/01/2019,UIZ,PM2.5,32,2
06/01/2019,VIF,PM10,73,2
06/01/2019,XAL,PM10,73,2
06/01/2019,XAL,PM2.5,30,2
06/01/2019,CCA,PM2.5,27,2
06/01/2019,MGH,PM10,43,2
06/01/2019,MGH,PM2.5,26,2
06/01/2019,AJM,PM10,41,2
06/01/2019,AJM,PM2.5,21,2
06/01/2019,BJU,PM10,49,2
06/01/2019,BJU,PM2.5,28,2
06/01/2019,INN,PM10,34,2
06/01/2019,INN,PM2.5,21,2
06/01/2019,GAM,PM10,62,2
06/01/2019,GAM,PM2.5,30,2
07/01/2019,ACO,PM10,58,2
07/01/2019,ATI,PM10,61,2
07/01/2019,CAM,PM10,64,2
07/01/2019,CAM,PM2.5,30,2
07/01/2019,MON,PM2.5,26,2
07/01/2019,CUA,PM10,37,2
07/01/2019,CUT,PM10,74,2
07/01/2019,FAC,PM10,49,2
07/01/2019,HGM,PM10,63,2
07/01/2019,HGM,PM2.5,32,2
07/01/2019,IZT,PM10,74,2
07/01/2019,MER,PM10,83,2
07/01/2019,MER,PM2.5,37,2
07/01/2019,NEZ,PM2.5,35,2
07/01/2019,SAG,PM10,80,2
07/01/2019,SAG,PM2.5,26,2
07/01/2019,SFE,PM10,38,2
07/01/2019,SFE,PM2.5,17,2
07/01/2019,TAH,PM10,64,2
07/01/2019,TLA,PM10,52,2
07/01/2019,TLA,PM2.5,23,2
07/01/2019,UAX,PM2.5,25,2
07/01/2019,UIZ,PM10,66,2
07/01/2019,UIZ,PM2.5,28,2
07/01/2019,VIF,PM10,74,2
07/01/2019,XAL,PM10,105,2
07/01/2019,XAL,PM2.5,34,2
07/01/2019,CCA,PM2.5,23,2
07/01/2019,MGH,PM10,49,2
07/01/2019,MGH,PM2.5,25,2
07/01/2019,AJM,PM10,39,2
07/01/2019,AJM,PM2.5,16,2
07/01/2019,BJU,PM10,56,2
07/01/2019,BJU,PM2.5,26,2
07/01/2019,INN,PM10,34,2
07/01/2019,INN,PM2.5,16,2
07/01/2019,GAM,PM10,73,2
07/01/2019,GAM,PM2.5,31,2
08/01/2019,ACO,PM10,60,2
08/01/2019,ATI,PM10,51,2
08/01/2019,CAM,PM10,61,2
08/01/2019,CAM,PM2.5,25,2
08/01/2019,MON,PM2.5,24,2
08/01/2019,CHO,PM10,81,2
08/01/2019,CUA,PM10,35,2
08/01/2019,CUT,PM10,68,2
08/01/2019,FAC,PM10,41,2
08/01/2019,HGM,PM10,61,2
08/01/2019,HGM,PM2.5,29,2
08/01/2019,IZT,PM10,62,2
08/01/2019,MER,PM10,75,2
08/01/2019,MER,PM2.5,32,2
08/01/2019,NEZ,PM2.5,27,2
08/01/2019,SFE,PM10,39,2
08/01/2019,SFE,PM2.5,16,2
08/01/2019,TAH,PM10,64,2
08/01/2019,TLA,PM10,56,2
08/01/2019,TLA,PM2.5,19,2
08/01/2019,UAX,PM2.5,23,2
08/01/2019,UIZ,PM10,57,2
08/01/2019,UIZ,PM2.5,23,2
08/01/2019,VIF,PM10,82,2
08/01/2019,XAL,PM10,102,2
08/01/2019,XAL,PM2.5,34,2
08/01/2019,CCA,PM2.5,17,2
08/01/2019,MGH,PM10,49,2
08/01/2019,MGH,PM2.5,23,2
08/01/2019,AJM,PM10,46,2
08/01/2019,AJM,PM2.5,20,2
08/01/2019,BJU,PM10,53,2
08/01/2019,BJU,PM2.5,23,2
08/01/2019,INN,PM10,25,2
08/01/2019,INN,PM2.5,9,2
08/01/2019,GAM,PM10,68,2
08/01/2019,GAM,PM2.5,27,2
09/01/2019,ACO,PM10,51,2
09/01/2019,ATI,PM10,47,2
09/01/2019,MON,PM2.5,28,2
09/01/2019,CHO,PM10,91,2
09/01/2019,CUA,PM10,39,2
09/01/2019,CUT,PM10,54,2
09/01/2019,FAC,PM10,43,2
09/01/2019,HGM,PM10,52,2
09/01/2019,HGM,PM2.5,29,2
09/01/2019,IZT,PM10,58,2
09/01/2019,MER,PM10,65,2
09/01/2019,MER,PM2.5,31,2
09/01/2019,NEZ,PM2.5,38,2
09/01/2019,SAG,PM10,52,2
09/01/2019,SAG,PM2.5,26,2
09/01/2019,SFE,PM10,45,2
09/01/2019,SFE,PM2.5,23,2
09/01/2019,TAH,PM10,84,2
09/01/2019,TLA,PM10,46,2
09/01/2019,TLA,PM2.5,20,2
09/01/2019,UAX,PM2.5,28,2
09/01/2019,UIZ,PM10,60,2
09/01/2019,UIZ,PM2.5,32,2
09/01/2019,VIF,PM10,53,2
09/01/2019,XAL,PM10,72,2
09/01/2019,XAL,PM2.5,29,2
09/01/2019,CCA,PM2.5,22,2
09/01/2019,MGH,PM10,44,2
09/01/2019,MGH,PM2.5,24,2
09/01/2019,AJM,PM10,46,2
09/01/2019,AJM,PM2.5,24,2
09/01/2019,BJU,PM10,54,2
09/01/2019,BJU,PM2.5,28,2
09/01/2019,INN,PM10,34,2
09/01/2019,INN,PM2.5,19,2
09/01/2019,GAM,PM10,58,2
09/01/2019,GAM,PM2.5,28,2
10/01/2019,ACO,PM10,48,2
10/01/2019,ATI,PM10,57,2
10/01/2019,MON,PM2.5,22,2
10/01/2019,CHO,PM10,48,2
10/01/2019,CUA,PM10,35,2
10/01/2019,CUT,PM10,54,2
10/01/2019,FAC,PM10,41,2
10/01/2019,HGM,PM10,42,2
10/01/2019,HGM,PM2.5,24,2
10/01/2019,IZT,PM10,40,2
10/01/2019,MER,PM10,49,2
10/01/2019,MER,PM2.5,22,2
10/01/2019,NEZ,PM2.5,33,2
10/01/2019,SAG,PM10,52,2
10/01/2019,SAG,PM2.5,21,2
10/01/2019,SFE,PM10,47,2
10/01/2019,SFE,PM2.5,29,2
10/01/2019,TAH,PM10,49,2
10/01/2019,TLA,PM10,58,2
10/01/2019,TLA,PM2.5,27,2
10/01/2019,UAX,PM2.5,17,2
10/01/2019,UIZ,PM10,44,2
10/01/2019,UIZ,PM2.5,22,2
10/01/2019,VIF,PM10,62,2
10/01/2019,XAL,PM10,59,2
10/01/2019,XAL,PM2.5,26,2
10/01/2019,CCA,PM2.5,22,2
10/01/2019,MGH,PM10,39,2
10/01/2019,MGH,PM2.5,24,2
10/01/2019,AJM,PM10,43,2
10/01/2019,AJM,PM2.5,26,2
10/01/2019,INN,PM10,32,2
10/01/2019,INN,PM2.5,23,2
10/01/2019,GAM,PM10,40,2
10/01/2019,GAM,PM2.5,20,2
11/01/2019,ACO,PM10,59,2
11/01/2019,ATI,PM10,44,2
11/01/2019,MON,PM2.5,20,2
11/01/2019,CHO,PM10,62,2
11/01/2019,CUA,PM10,30,2
11/01/2019,CUT,PM10,67,2
11/01/2019,FAC,PM10,37,2
11/01/2019,HGM,PM10,41,2
11/01/2019,HGM,PM2.5,23,2
11/01/2019,IZT,PM10,44,2
11/01/2019,MER,PM10,54,2
11/01/2019,MER,PM2.5,26,2
11/01/2019,NEZ,PM2.5,36,2
11/01/2019,SAG,PM10,70,2
11/01/2019,SAG,PM2.5,25,2
11/01/2019,SFE,PM10,43,2
11/01/2019,SFE,PM2.5,23,2
11/01/2019,TAH,PM10,46,2
11/01/2019,TLA,PM10,51,2
11/01/2019,TLA,PM2.5,24,2
11/01/2019,UAX,PM2.5,19,2
11/01/2019,UIZ,PM10,48,2
11/01/2019,UIZ,PM2.5,24,2
11/01/2019,VIF,PM10,80,2
11/01/2019,XAL,PM10,81,2
11/01/2019,XAL,PM2.5,36,2
11/01/2019,CCA,PM2.5,19,2
11/01/2019,MGH,PM10,41,2
11/01/2019,MGH,PM2.5,26,2
11/01/2019,AJM,PM10,37,2
11/01/2019,AJM,PM2.5,20,2
11/01/2019,INN,PM10,17,2
11/01/2019,INN,PM2.5,10,2
11/01/2019,GAM,PM10,56,2
11/01/2019,GAM,PM2.5,28,2
12/01/2019,ACO,PM10,48,2
12/01/2019,ATI,PM10,40,2
12/01/2019,MON,PM2.5,31,2
12/01/2019,CHO,PM10,69,2
12/01/2019,CUA,PM10,36,2
12/01/2019,CUT,PM10,39,2
12/01/2019,FAC,PM10,37,2
12/01/2019,HGM,PM10,50,2
12/01/2019,HGM,PM2.5,32,2
12/01/2019,IZT,PM10,56,2
12/01/2019,MER,PM10,64,2
12/01/2019,MER,PM2.5,37,2
12/01/2019,NEZ,PM2.5,32,2
12/01/2019,SAG,PM10,69,2
12/01/2019,SAG,PM2.5,28,2
12/01/2019,SFE,PM10,43,2
12/01/2019,SFE,PM2.5,30,2
12/01/2019,TAH,PM10,64,2
12/01/2019,TLA,PM10,43,2
12/01/2019,TLA,PM2.5,25,2
12/01/2019,UAX,PM2.5,34,2
12/01/2019,UIZ,PM10,55,2
12/01/2019,UIZ,PM2.5,35,2
12/01/2019,VIF,PM10,45,2
12/01/2019,XAL,PM10,67,2
12/01/2019,XAL,PM2.5,35,2
12/01/2019,CCA,PM2.5,28,2
12/01/2019,MGH,PM10,43,2
12/01/2019,MGH,PM2.5,30,2
12/01/2019,AJM,PM10,42,2
12/01/2019,AJM,PM2.5,28,2
12/01/2019,INN,PM10,32,2
12/01/2019,INN,PM2.5,24,2
13/01/2019,ACO,PM10,21,2
13/01/2019,ATI,PM10,21,2
13/01/2019,MON,PM2.5,13,2
13/01/2019,CUA,PM10,21,2
13/01/2019,CUT,PM10,17,2
13/01/2019,FAC,PM10,15,2
13/01/2019,HGM,PM10,31,2
13/01/2019,HGM,PM2.5,23,2
13/01/2019,IZT,PM10,33,2
13/01/2019,MER,PM10,35,2
13/01/2019,MER,PM2.5,23,2
13/01/2019,NEZ,PM2.5,21,2
13/01/2019,SAG,PM10,31,2
13/01/2019,SAG,PM2.5,20,2
13/01/2019,SFE,PM10,26,2
13/01/2019,SFE,PM2.5,19,2
13/01/2019,TAH,PM10,26,2
13/01/2019,TLA,PM10,26,2
13/01/2019,TLA,PM2.5,17,2
13/01/2019,UAX,PM2.5,23,2
13/01/2019,UIZ,PM10,27,2
13/01/2019,UIZ,PM2.5,20,2
13/01/2019,XAL,PM10,29,2
13/01/2019,XAL,PM2.5,17,2
13/01/2019,CCA,PM2.5,19,2
13/01/2019,MGH,PM10,25,2
13/01/2019,MGH,PM2.5,19,2
13/01/2019,AJM,PM10,31,2
13/01/2019,AJM,PM2.5,23,2
13/01/2019,INN,PM10,22,2
13/01/2019,INN,PM2.5,19,2
14/01/2019,ACO,PM10,23,2
14/01/2019,ATI,PM10,33,2
14/01/2019,MON,PM2.5,12,2
14/01/2019,CHO,PM10,41,2
14/01/2019,CUA,PM10,30,2
14/01/2019,CUT,PM10,33,2
14/01/2019,FAC,PM10,23,2
14/01/2019,HGM,PM10,38,2
14/01/2019,HGM,PM2.5,25,2
14/01/2019,IZT,PM10,42,2
14/01/2019,MER,PM10,49,2
14/01/2019,MER,PM2.5,26,2
14/01/2019,NEZ,PM2.5,23,2
14/01/2019,SAG,PM10,36,2
14/01/2019,SAG,PM2.5,16,2
14/01/2019,SFE,PM10,35,2
14/01/2019,SFE,PM2.5,23,2
14/01/2019,TAH,PM10,40,2
14/01/2019,TLA,PM10,31,2
14/01/2019,TLA,PM2.5,17,2
14/01/2019,UAX,PM2.5,22,2
14/01/2019,UIZ,PM10,45,2
14/01/2019,UIZ,PM2.5,27,2
14/01/2019,VIF,PM10,29,2
14/01/2019,XAL,PM10,38,2
14/01/2019,XAL,PM2.5,17,2
14/01/2019,CCA,PM2.5,21,2
14/01/2019,MGH,PM10,30,2
14/01/2019,MGH,PM2.5,22,2
14/01/2019,AJM,PM10,37,2
14/01/2019,AJM,PM2.5,26,2
14/01/2019,INN,PM10,26,2
14/01/2019,INN,PM2.5,21,2
15/01/2019,ACO,PM10,45,2
15/01/2019,ATI,PM10,59,2
15/01/2019,MON,PM2.5,23,2
15/01/2019,CHO,PM10,46,2
15/01/2019,CUA,PM10,46,2
15/01/2019,CUT,PM10,50,2
15/01/2019,FAC,PM10,45,2
15/01/2019,HGM,PM10,55,2
15/01/2019,HGM,PM2.5,36,2
15/01/2019,IZT,PM10,53,2
15/01/2019,MER,PM10,61,2
15/01/2019,MER,PM2.5,33,2
15/01/2019,SAG,PM10,62,2
15/01/2019,SAG,PM2.5,26,2
15/01/2019,SFE,PM10,54,2
15/01/2019,SFE,PM2.5,35,2
15/01/2019,TAH,PM10,59,2
15/01/2019,TLA,PM10,56,2
15/01/2019,TLA,PM2.5,32,2
