"	date",id_station,id_parameter,value,unit
05/01/2018,GAM,PM2.5,50,2
06/01/2018,ACO,PM10,65,2
06/01/2018,AJU,PM2.5,30,2
06/01/2018,ATI,PM10,44,2
06/01/2018,CUA,PM10,42,2
06/01/2018,CUT,PM10,77,2
06/01/2018,FAC,PM10,32,2
06/01/2018,HGM,PM10,59,2
06/01/2018,HGM,PM2.5,32,2
06/01/2018,MER,PM10,55,2
06/01/2018,MER,PM2.5,31,2
06/01/2018,NEZ,PM2.5,36,2
06/01/2018,SAG,PM10,76,2
06/01/2018,SAG,PM2.5,32,2
06/01/2018,SFE,PM10,46,2
06/01/2018,SFE,PM2.5,26,2
06/01/2018,TAH,PM10,56,2
06/01/2018,TLA,PM10,58,2
06/01/2018,TLA,PM2.5,30,2
06/01/2018,TLI,PM10,60,2
06/01/2018,UAX,PM2.5,32,2
06/01/2018,VIF,PM10,82,2
06/01/2018,XAL,PM10,103,2
06/01/2018,XAL,PM2.5,38,2
06/01/2018,CCA,PM2.5,29,2
06/01/2018,MGH,PM10,54,2
06/01/2018,MGH,PM2.5,32,2
06/01/2018,AJM,PM10,55,2
06/01/2018,AJM,PM2.5,29,2
06/01/2018,BJU,PM10,59,2
06/01/2018,BJU,PM2.5,32,2
06/01/2018,INN,PM10,36,2
06/01/2018,INN,PM2.5,20,2
06/01/2018,GAM,PM2.5,37,2
07/01/2018,ACO,PM10,71,2
07/01/2018,AJU,PM2.5,23,2
07/01/2018,ATI,PM10,51,2
07/01/2018,CUA,PM10,36,2
07/01/2018,CUT,PM10,78,2
07/01/2018,FAC,PM10,37,2
07/01/2018,HGM,PM10,52,2
07/01/2018,HGM,PM2.5,28,2
07/01/2018,MER,PM10,54,2
07/01/2018,MER,PM2.5,33,2
07/01/2018,NEZ,PM2.5,31,2
07/01/2018,SAG,PM10,65,2
07/01/2018,SAG,PM2.5,29,2
07/01/2018,SFE,PM10,39,2
07/01/2018,SFE,PM2.5,25,2
07/01/2018,TAH,PM10,54,2
07/01/2018,TLA,PM10,53,2
07/01/2018,TLA,PM2.5,29,2
07/01/2018,TLI,PM10,82,2
07/01/2018,UAX,PM2.5,27,2
07/01/2018,VIF,PM10,102,2
07/01/2018,XAL,PM10,93,2
07/01/2018,XAL,PM2.5,35,2
07/01/2018,CCA,PM2.5,23,2
07/01/2018,MGH,PM10,47,2
07/01/2018,MGH,PM2.5,29,2
07/01/2018,AJM,PM10,41,2
07/01/2018,AJM,PM2.5,24,2
07/01/2018,BJU,PM10,49,2
07/01/2018,BJU,PM2.5,26,2
07/01/2018,INN,PM10,34,2
07/01/2018,INN,PM2.5,22,2
07/01/2018,GAM,PM2.5,34,2
08/01/2018,ACO,PM10,75,2
08/01/2018,AJU,PM2.5,25,2
08/01/2018,ATI,PM10,66,2
08/01/2018,CUA,PM10,44,2
08/01/2018,CUT,PM10,85,2
08/01/2018,FAC,PM10,47,2
08/01/2018,HGM,PM10,64,2
08/01/2018,HGM,PM2.5,30,2
08/01/2018,MER,PM10,68,2
08/01/2018,MER,PM2.5,34,2
08/01/2018,NEZ,PM2.5,42,2
08/01/2018,SAG,PM10,93,2
08/01/2018,SAG,PM2.5,36,2
08/01/2018,SFE,PM10,49,2
08/01/2018,SFE,PM2.5,21,2
08/01/2018,TAH,PM10,67,2
08/01/2018,TLA,PM10,65,2
08/01/2018,TLA,PM2.5,26,2
08/01/2018,TLI,PM10,86,2
08/01/2018,UAX,PM2.5,34,2
08/01/2018,VIF,PM10,89,2
08/01/2018,XAL,PM10,127,2
08/01/2018,XAL,PM2.5,42,2
08/01/2018,CCA,PM2.5,26,2
08/01/2018,MGH,PM10,62,2
08/01/2018,MGH,PM2.5,31,2
08/01/2018,AJM,PM10,56,2
08/01/2018,AJM,PM2.5,22,2
08/01/2018,BJU,PM10,60,2
08/01/2018,BJU,PM2.5,27,2
08/01/2018,INN,PM10,45,2
08/01/2018,INN,PM2.5,18,2
09/01/2018,ACO,PM10,69,2
09/01/2018,AJU,PM2.5,26,2
09/01/2018,ATI,PM10,59,2
09/01/2018,CUA,PM10,41,2
09/01/2018,CUT,PM10,94,2
09/01/2018,FAC,PM10,40,2
09/01/2018,HGM,PM10,61,2
09/01/2018,HGM,PM2.5,33,2
09/01/2018,MER,PM10,59,2
09/01/2018,MER,PM2.5,33,2
09/01/2018,NEZ,PM2.5,50,2
09/01/2018,SAG,PM10,83,2
09/01/2018,SAG,PM2.5,30,2
09/01/2018,SFE,PM10,38,2
09/01/2018,SFE,PM2.5,16,2
09/01/2018,TAH,PM10,70,2
09/01/2018,TLI,PM10,82,2
09/01/2018,UAX,PM2.5,33,2
09/01/2018,VIF,PM10,82,2
09/01/2018,XAL,PM10,106,2
09/01/2018,XAL,PM2.5,41,2
09/01/2018,CCA,PM2.5,24,2
09/01/2018,MGH,PM10,52,2
09/01/2018,MGH,PM2.5,29,2
09/01/2018,AJM,PM10,44,2
09/01/2018,AJM,PM2.5,22,2
09/01/2018,BJU,PM10,62,2
09/01/2018,BJU,PM2.5,30,2
09/01/2018,INN,PM10,24,2
09/01/2018,INN,PM2.5,11,2
09/01/2018,GAM,PM2.5,43,2
10/01/2018,ACO,PM10,117,2
10/01/2018,AJU,PM2.5,35,2
10/01/2018,ATI,PM10,81,2
10/01/2018,CUA,PM10,48,2
10/01/2018,CUT,PM10,133,2
10/01/2018,FAC,PM10,63,2
10/01/2018,HGM,PM10,83,2
10/01/2018,HGM,PM2.5,43,2
10/01/2018,MER,PM10,84,2
10/01/2018,MER,PM2.5,44,2
10/01/2018,NEZ,PM2.5,62,2
10/01/2018,SFE,PM10,54,2
10/01/2018,SFE,PM2.5,26,2
10/01/2018,TAH,PM10,86,2
10/01/2018,TLA,PM10,94,2
10/01/2018,TLA,PM2.5,40,2
10/01/2018,TLI,PM10,125,2
10/01/2018,UAX,PM2.5,44,2
10/01/2018,VIF,PM10,143,2
10/01/2018,XAL,PM10,181,2
10/01/2018,XAL,PM2.5,64,2
10/01/2018,CCA,PM2.5,35,2
10/01/2018,MGH,PM10,70,2
10/01/2018,MGH,PM2.5,39,2
10/01/2018,BJU,PM10,81,2
10/01/2018,BJU,PM2.5,40,2
10/01/2018,INN,PM10,36,2
10/01/2018,INN,PM2.5,21,2
10/01/2018,GAM,PM2.5,50,2
11/01/2018,ACO,PM10,102,2
11/01/2018,AJU,PM2.5,36,2
11/01/2018,ATI,PM10,77,2
11/01/2018,CUA,PM10,46,2
11/01/2018,CUT,PM10,131,2
11/01/2018,FAC,PM10,51,2
11/01/2018,HGM,PM10,84,2
11/01/2018,HGM,PM2.5,46,2
11/01/2018,IZT,PM10,90,2
11/01/2018,MER,PM10,67,2
11/01/2018,MER,PM2.5,42,2
11/01/2018,NEZ,PM2.5,55,2
11/01/2018,SFE,PM10,59,2
11/01/2018,SFE,PM2.5,29,2
11/01/2018,TAH,PM10,57,2
11/01/2018,TLA,PM10,96,2
11/01/2018,TLA,PM2.5,42,2
11/01/2018,UAX,PM2.5,57,2
11/01/2018,VIF,PM10,119,2
11/01/2018,XAL,PM10,147,2
11/01/2018,XAL,PM2.5,57,2
11/01/2018,CCA,PM2.5,37,2
11/01/2018,MGH,PM10,81,2
11/01/2018,MGH,PM2.5,46,2
11/01/2018,BJU,PM10,81,2
11/01/2018,BJU,PM2.5,43,2
11/01/2018,INN,PM10,43,2
11/01/2018,INN,PM2.5,22,2
11/01/2018,GAM,PM2.5,50,2
