DATETIME,HGM
2012-12-08,71.0
2012-12-09,64.0
2012-12-10,64.0
2012-12-11,56.0
2012-12-12,55.0
2012-12-13,71.5
2012-12-14,86.0
2012-12-15,84.0
2012-12-16,82.0
2012-12-17,81.0
2012-12-18,78.0
2012-12-19,54.5
2012-12-20,88.5
2012-12-21,72.0
2012-12-22,80.0
2012-12-23,91.5
2012-12-24,77.5
2012-12-25,94.0
2012-12-26,39.0
2012-12-27,60.5
2012-12-28,50.0
2012-12-29,71.5
2012-12-30,37.0
2012-12-31,31.0
2013-01-01,72.0
2013-01-02,35.0
2013-01-03,46.0
2013-01-04,78.0
2013-01-05,53.0
2013-01-06,56.0
2013-01-07,68.0
2013-01-08,34.0
2013-01-09,22.0
2013-01-10,50.0
2013-01-11,61.5
2013-01-12,59.5
2013-01-13,45.0
2013-01-14,52.0
2013-01-15,54.5
2013-01-16,58.0
2013-01-17,60.5
2013-01-18,64.5
2013-01-19,61.0
2013-01-20,55.5
2013-01-21,57.0
2013-01-22,62.5
2013-01-23,59.0
2013-01-24,40.0
2013-01-25,64.0
2013-01-26,59.0
2013-01-27,61.0
2013-01-28,49.0
2013-01-29,42.0
2013-01-30,73.5
2013-01-31,88.0
2013-02-01,86.5
2013-02-02,86.0
2013-02-03,54.0
2013-02-04,38.5
2013-02-05,51.5
2013-02-06,59.0
2013-02-07,59.5
2013-02-08,75.0
2013-02-09,59.5
2013-02-10,41.0
2013-02-11,41.5
2013-02-12,42.0
2013-02-13,45.0
2013-02-14,42.5
2013-02-15,55.5
2013-02-16,57.0
2013-02-17,48.0
2013-02-18,58.0
2013-02-19,54.0
2013-02-20,57.0
2013-02-21,50.0
2013-02-22,47.5
2013-02-23,55.5
2013-02-24,41.5
2013-02-25,46.0
2013-02-26,49.0
2013-02-27,48.5
2013-02-28,74.0
2013-03-01,78.0
2013-03-02,29.5
2013-03-03,39.0
2013-03-04,77.5
2013-03-05,92.0
2013-03-06,76.0
2013-03-07,77.5
2013-03-08,66.5
2013-03-09,66.0
2013-03-10,38.0
2013-03-11,38.0
2013-03-12,49.5
2013-03-13,61.5
2013-03-14,73.0
2013-03-15,65.0
2013-03-16,19.0
2013-03-17,22.5
