,DATETIME,FECHA,HORA,MGH,AÑO,MES
131565,2015-01-03 22:00:00,2015-01-03 00:00:00,22,23.0,2015,1
131566,2015-01-03 23:00:00,2015-01-03 00:00:00,23,26.0,2015,1
131567,2015-01-03 00:00:00,2015-01-03 00:00:00,0,30.0,2015,1
131568,2015-01-04 01:00:00,2015-01-04 00:00:00,1,33.0,2015,1
131569,2015-01-04 02:00:00,2015-01-04 00:00:00,2,27.0,2015,1
131570,2015-01-04 03:00:00,2015-01-04 00:00:00,3,22.0,2015,1
131571,2015-01-04 04:00:00,2015-01-04 00:00:00,4,26.0,2015,1
131572,2015-01-04 05:00:00,2015-01-04 00:00:00,5,22.0,2015,1
131573,2015-01-04 06:00:00,2015-01-04 00:00:00,6,23.0,2015,1
131574,2015-01-04 07:00:00,2015-01-04 00:00:00,7,23.0,2015,1
131575,2015-01-04 08:00:00,2015-01-04 00:00:00,8,25.0,2015,1
131576,2015-01-04 09:00:00,2015-01-04 00:00:00,9,22.0,2015,1
131577,2015-01-04 10:00:00,2015-01-04 00:00:00,10,33.0,2015,1
131578,2015-01-04 11:00:00,2015-01-04 00:00:00,11,33.0,2015,1
131579,2015-01-04 12:00:00,2015-01-04 00:00:00,12,33.0,2015,1
131580,2015-01-04 13:00:00,2015-01-04 00:00:00,13,32.0,2015,1
131581,2015-01-04 14:00:00,2015-01-04 00:00:00,14,40.0,2015,1
131582,2015-01-04 15:00:00,2015-01-04 00:00:00,15,36.0,2015,1
131583,2015-01-04 16:00:00,2015-01-04 00:00:00,16,41.0,2015,1
131584,2015-01-04 17:00:00,2015-01-04 00:00:00,17,53.0,2015,1
131585,2015-01-04 18:00:00,2015-01-04 00:00:00,18,52.0,2015,1
131586,2015-01-04 19:00:00,2015-01-04 00:00:00,19,42.0,2015,1
131587,2015-01-04 20:00:00,2015-01-04 00:00:00,20,30.0,2015,1
131588,2015-01-04 21:00:00,2015-01-04 00:00:00,21,21.0,2015,1
131589,2015-01-04 22:00:00,2015-01-04 00:00:00,22,19.0,2015,1
131590,2015-01-04 23:00:00,2015-01-04 00:00:00,23,18.0,2015,1
131591,2015-01-04 00:00:00,2015-01-04 00:00:00,0,10.0,2015,1
131592,2015-01-05 01:00:00,2015-01-05 00:00:00,1,12.0,2015,1
131593,2015-01-05 02:00:00,2015-01-05 00:00:00,2,7.0,2015,1
131594,2015-01-05 03:00:00,2015-01-05 00:00:00,3,9.0,2015,1
131595,2015-01-05 04:00:00,2015-01-05 00:00:00,4,9.0,2015,1
131596,2015-01-05 05:00:00,2015-01-05 00:00:00,5,9.0,2015,1
131597,2015-01-05 06:00:00,2015-01-05 00:00:00,6,6.0,2015,1
131598,2015-01-05 07:00:00,2015-01-05 00:00:00,7,14.0,2015,1
131599,2015-01-05 08:00:00,2015-01-05 00:00:00,8,16.0,2015,1
131600,2015-01-05 09:00:00,2015-01-05 00:00:00,9,21.0,2015,1
131601,2015-01-05 10:00:00,2015-01-05 00:00:00,10,24.0,2015,1
131602,2015-01-05 11:00:00,2015-01-05 00:00:00,11,19.0,2015,1
131603,2015-01-05 12:00:00,2015-01-05 00:00:00,12,29.0,2015,1
131604,2015-01-05 13:00:00,2015-01-05 00:00:00,13,30.0,2015,1
131605,2015-01-05 14:00:00,2015-01-05 00:00:00,14,35.0,2015,1
131606,2015-01-05 15:00:00,2015-01-05 00:00:00,15,44.0,2015,1
131607,2015-01-05 16:00:00,2015-01-05 00:00:00,16,46.0,2015,1
131608,2015-01-05 17:00:00,2015-01-05 00:00:00,17,51.0,2015,1
131609,2015-01-05 18:00:00,2015-01-05 00:00:00,18,45.0,2015,1
131610,2015-01-05 19:00:00,2015-01-05 00:00:00,19,35.0,2015,1
131611,2015-01-05 20:00:00,2015-01-05 00:00:00,20,29.0,2015,1
131612,2015-01-05 21:00:00,2015-01-05 00:00:00,21,26.0,2015,1
131613,2015-01-05 22:00:00,2015-01-05 00:00:00,22,24.0,2015,1
131614,2015-01-05 23:00:00,2015-01-05 00:00:00,23,23.0,2015,1
131615,2015-01-05 00:00:00,2015-01-05 00:00:00,0,17.0,2015,1
131616,2015-01-06 01:00:00,2015-01-06 00:00:00,1,13.0,2015,1
131617,2015-01-06 02:00:00,2015-01-06 00:00:00,2,14.0,2015,1
131618,2015-01-06 03:00:00,2015-01-06 00:00:00,3,13.0,2015,1
131619,2015-01-06 04:00:00,2015-01-06 00:00:00,4,9.0,2015,1
131620,2015-01-06 05:00:00,2015-01-06 00:00:00,5,13.0,2015,1
131621,2015-01-06 06:00:00,2015-01-06 00:00:00,6,12.0,2015,1
131622,2015-01-06 07:00:00,2015-01-06 00:00:00,7,27.0,2015,1
131623,2015-01-06 08:00:00,2015-01-06 00:00:00,8,38.0,2015,1
131624,2015-01-06 09:00:00,2015-01-06 00:00:00,9,55.0,2015,1
131625,2015-01-06 10:00:00,2015-01-06 00:00:00,10,84.0,2015,1
131626,2015-01-06 11:00:00,2015-01-06 00:00:00,11,67.0,2015,1
131627,2015-01-06 12:00:00,2015-01-06 00:00:00,12,37.0,2015,1
131628,2015-01-06 13:00:00,2015-01-06 00:00:00,13,31.0,2015,1
131629,2015-01-06 14:00:00,2015-01-06 00:00:00,14,35.0,2015,1
131630,2015-01-06 15:00:00,2015-01-06 00:00:00,15,44.0,2015,1
131631,2015-01-06 16:00:00,2015-01-06 00:00:00,16,47.0,2015,1
131632,2015-01-06 17:00:00,2015-01-06 00:00:00,17,35.0,2015,1
131633,2015-01-06 18:00:00,2015-01-06 00:00:00,18,35.0,2015,1
131634,2015-01-06 19:00:00,2015-01-06 00:00:00,19,27.0,2015,1
131635,2015-01-06 20:00:00,2015-01-06 00:00:00,20,21.0,2015,1
131636,2015-01-06 21:00:00,2015-01-06 00:00:00,21,23.0,2015,1
131637,2015-01-06 22:00:00,2015-01-06 00:00:00,22,15.0,2015,1
131638,2015-01-06 23:00:00,2015-01-06 00:00:00,23,14.0,2015,1
131639,2015-01-06 00:00:00,2015-01-06 00:00:00,0,17.0,2015,1
131640,2015-01-07 01:00:00,2015-01-07 00:00:00,1,16.0,2015,1
131641,2015-01-07 02:00:00,2015-01-07 00:00:00,2,11.0,2015,1
131642,2015-01-07 03:00:00,2015-01-07 00:00:00,3,14.0,2015,1
131643,2015-01-07 04:00:00,2015-01-07 00:00:00,4,10.0,2015,1
131644,2015-01-07 05:00:00,2015-01-07 00:00:00,5,14.0,2015,1
131645,2015-01-07 06:00:00,2015-01-07 00:00:00,6,17.0,2015,1
131646,2015-01-07 07:00:00,2015-01-07 00:00:00,7,20.0,2015,1
131647,2015-01-07 08:00:00,2015-01-07 00:00:00,8,17.0,2015,1
131648,2015-01-07 09:00:00,2015-01-07 00:00:00,9,22.0,2015,1
131649,2015-01-07 10:00:00,2015-01-07 00:00:00,10,37.0,2015,1
131650,2015-01-07 11:00:00,2015-01-07 00:00:00,11,35.0,2015,1
131651,2015-01-07 12:00:00,2015-01-07 00:00:00,12,28.0,2015,1
