DATETIME,HGM
2012-12-06,69.0
2012-12-07,99.0
2012-12-08,106.0
2012-12-09,84.0
2012-12-10,80.0
2012-12-11,50.0
2012-12-12,59.0
2012-12-13,45.0
2012-12-14,96.0
2012-12-15,104.0
2012-12-16,124.0
2012-12-17,90.0
2012-12-18,95.0
2012-12-19,77.0
2012-12-20,54.0
2012-12-21,62.0
2012-12-22,75.0
2012-12-23,99.0
2012-12-24,115.0
2012-12-25,109.0
2012-12-26,56.0
2012-12-27,69.0
2012-12-28,57.0
2012-12-29,98.0
2012-12-30,55.0
2012-12-31,37.0
2013-01-01,56.0
2013-01-02,23.0
2013-01-03,44.0
2013-01-04,66.0
2013-01-05,89.0
2013-01-06,82.0
2013-01-07,75.0
2013-01-08,24.0
2013-01-09,28.0
2013-01-10,79.0
2013-01-11,105.0
2013-01-12,109.0
2013-01-13,83.0
2013-01-14,64.0
2013-01-15,113.0
2013-01-16,73.0
2013-01-17,64.0
2013-01-18,57.0
2013-01-19,89.0
2013-01-20,65.0
2013-01-21,28.0
2013-01-22,36.0
2013-01-23,50.0
2013-01-24,59.0
2013-01-25,85.0
2013-01-26,82.0
2013-01-27,97.0
2013-01-28,72.0
2013-01-29,88.0
2013-01-30,90.0
2013-01-31,115.0
2013-02-01,107.0
2013-02-02,75.0
2013-02-03,77.0
2013-02-04,90.0
2013-02-05,93.0
2013-02-06,87.0
2013-02-07,97.0
2013-02-08,94.0
2013-02-09,63.0
2013-02-10,66.0
2013-02-11,85.0
2013-02-12,83.0
2013-02-13,74.0
2013-02-14,63.0
2013-02-15,119.0
2013-02-16,99.0
2013-02-17,89.0
2013-02-18,49.0
2013-02-19,114.0
2013-02-20,60.0
2013-02-21,67.0
2013-02-22,74.0
2013-02-23,91.0
2013-02-24,58.0
2013-02-25,45.0
2013-02-26,40.0
2013-02-27,96.0
2013-02-28,80.0
2013-03-01,62.0
2013-03-02,59.0
2013-03-03,79.0
2013-03-04,90.0
2013-03-05,94.0
2013-03-06,95.0
2013-03-07,82.0
2013-03-08,92.0
2013-03-09,85.0
2013-03-10,70.0
2013-03-11,56.0
2013-03-12,51.0
2013-03-13,63.0
2013-03-14,68.0
2013-03-15,20.0
2013-03-16,23.0
2013-03-17,58.0
2013-03-18,111.0
2013-03-19,116.0
2013-03-20,122.0
2013-03-21,76.0
2013-03-22,35.0
2013-03-23,34.0
2013-03-24,108.0
2013-03-25,75.0
2013-03-26,98.0
2013-03-27,73.0
2013-03-28,120.0
2013-03-29,119.0
2013-03-30,98.0
2013-03-31,86.0
2013-04-01,122.0
2013-04-02,71.0
2013-04-03,67.0
2013-04-04,103.0
2013-04-05,121.0
2013-04-06,131.0
2013-04-07,109.0
2013-04-08,80.0
2013-04-09,94.0
2013-04-10,93.0
2013-04-11,78.0
2013-04-12,68.0
2013-04-13,60.0
2013-04-14,81.0
2013-04-15,101.0
2013-04-16,113.0
2013-04-17,147.0
2013-04-18,152.0
2013-04-19,155.0
2013-04-20,105.0
2013-04-21,119.0
2013-04-22,160.0
2013-04-23,123.0
2013-04-24,111.0
2013-04-25,112.0
2013-04-26,127.0
2013-04-27,122.0
2013-04-28,100.0
2013-04-29,121.0
2013-04-30,94.0
2013-05-01,128.0
2013-05-02,145.0
2013-05-03,127.0
2013-05-04,116.0
2013-05-05,137.0
2013-05-06,151.0
2013-05-07,143.0
2013-05-08,118.0
2013-05-09,147.0
2013-05-10,148.0
2013-05-11,127.0
2013-05-12,126.0
2013-05-13,80.0
2013-05-14,139.0
2013-05-15,138.0
2013-05-16,150.0
2013-05-17,119.0
2013-05-18,144.0
2013-05-19,132.0
2013-05-20,126.0
2013-05-21,136.0
2013-05-22,138.0
2013-05-23,112.0
2013-05-24,104.0
2013-05-25,117.0
2013-05-26,98.0
2013-05-27,92.0
2013-05-28,112.0
2013-05-29,106.0
2013-05-30,87.0
2013-05-31,52.0
2013-06-01,79.0
2013-06-02,56.0
2013-06-03,59.0
2013-06-04,139.0
2013-06-05,94.0
2013-06-06,112.0
2013-06-07,98.0
2013-06-08,115.0
2013-06-09,63.0
2013-06-10,94.0
2013-06-11,97.0
2013-06-12,95.0
2013-06-13,106.0
2013-06-14,80.0
2013-06-15,102.0
2013-06-16,98.0
2013-06-17,80.0
2013-06-18,76.0
2013-06-19,65.0
2013-06-20,20.0
2013-06-21,29.0
2013-06-22,31.0
2013-06-23,90.0
2013-06-24,87.0
2013-06-25,62.0
2013-06-26,83.0
2013-06-27,91.0
2013-06-28,74.0
2013-06-29,71.0
2013-06-30,93.0
2013-07-01,84.0
2013-07-02,76.0
2013-07-03,73.0
2013-07-04,84.0
2013-07-05,38.0
2013-07-06,26.0
2013-07-07,30.0
2013-07-08,40.0
2013-07-09,90.0
2013-07-10,72.0
2013-07-11,86.0
2013-07-12,72.0
2013-07-13,88.0
2013-07-14,106.0
2013-07-15,94.0
2013-07-16,71.0
2013-07-17,73.0
2013-07-18,120.0
2013-07-19,64.0
2013-07-20,99.0
2013-07-21,87.0
2013-07-22,81.0
2013-07-23,81.0
2013-07-24,69.0
2013-07-25,82.0
2013-07-26,100.0
2013-07-27,82.0
2013-07-28,103.0
2013-07-29,90.0
2013-07-30,80.0
2013-07-31,80.0
2013-08-01,84.0
2013-08-02,75.0
2013-08-03,78.0
2013-08-04,93.0
2013-08-05,80.0
2013-08-06,124.0
2013-08-07,111.0
2013-08-08,87.0
2013-08-09,105.0
2013-08-10,65.0
2013-08-11,62.0
2013-08-12,69.0
2013-08-13,42.0
2013-08-14,62.0
2013-08-15,72.0
2013-08-16,73.0
2013-08-17,53.0
2013-08-18,86.0
2013-08-19,83.0
2013-08-20,63.0
2013-08-21,48.0
2013-08-22,94.0
2013-08-23,78.0
2013-08-24,61.0
2013-08-25,35.0
2013-08-26,22.0
2013-08-27,26.0
2013-08-28,68.0
2013-08-29,40.0
2013-08-30,100.0
2013-08-31,83.0
2013-09-01,69.0
2013-09-02,73.0
2013-09-03,32.0
2013-09-04,51.0
2013-09-05,63.0
2013-09-06,78.0
2013-09-07,18.0
2013-09-08,49.0
2013-09-09,69.0
2013-09-10,108.0
2013-09-11,30.0
2013-09-12,33.0
2013-09-13,23.0
2013-09-14,29.0
2013-09-15,13.0
2013-09-16,25.0
2013-09-17,102.0
2013-09-18,36.0
2013-09-19,73.0
2013-09-20,86.0
2013-09-21,98.0
2013-09-22,56.0
2013-09-23,41.0
2013-09-24,69.0
2013-09-25,57.0
2013-09-26,21.0
2013-09-27,32.0
2013-09-28,93.0
2013-09-29,78.0
2013-09-30,104.0
2013-10-01,78.0
2013-10-02,87.0
2013-10-03,99.0
2013-10-04,124.0
2013-10-05,138.0
2013-10-06,109.0
2013-10-07,24.0
2013-10-08,73.0
2013-10-09,79.0
2013-10-10,99.0
2013-10-11,83.0
2013-10-12,89.0
2013-10-13,65.0
2013-10-14,67.0
2013-10-15,82.0
2013-10-16,130.0
2013-10-17,119.0
2013-10-18,101.0
2013-10-19,74.0
2013-10-20,61.0
2013-10-21,42.0
2013-10-22,20.0
2013-10-23,16.0
2013-10-24,39.0
2013-10-25,50.0
2013-10-26,36.0
2013-10-27,65.0
2013-10-28,71.0
2013-10-29,73.0
2013-10-30,39.0
2013-10-31,81.0
2013-11-01,79.0
2013-11-02,24.0
2013-11-03,88.0
2013-11-04,52.0
2013-11-05,50.0
2013-11-06,55.0
2013-11-07,32.0
2013-11-08,68.0
2013-11-09,60.0
2013-11-10,41.0
2013-11-11,54.0
