,Title,Type,Episodes,Status,Start_Airing,End_Airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites,Description
97,The iDOLM@STER: 765 Pro to Iu Monogatari,Special,1,Finished Airing,"Jun 28, 2012",-,-,-,Aniplex,add some,A-1 Pictures,Game,"Music,Comedy,Drama",24 min.,PG-13 - Teens 13 or older,7.51,1698,"18,081",13,"This special received a TV airing on June 17, 2012. The 9th Blu-ray volume containing episodes 24-26 was released on June 28, 2012."
98,Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara,OVA,1,Finished Airing,"Sep 26, 2010",-,-,-,"Geneon Universal Entertainment,Movic,AT-X,ASCII Media Works",add some,J.C.Staff,Manga,"Action,Sci-Fi,Super Power",34 min.,PG-13 - Teens 13 or older,7.51,1699,"49,212",27,"Continuing after the Level Upper incident, another phenomenon torments Misaka. A phenomenon called ""Someone's Watching,"" its effect feels like the electricity in one's body flow backwards. With the help of her friends, Misaka fights against the unknown enemy."
99,Tonari no Seki-kun Specials,Special,2,Finished Airing,"May 28, 2014",-,-,-,Media Factory,add some,Shin-Ei Animation,Manga,"Comedy,School,Seinen",13 min. per ep.,G - All Ages,7.51,1700,"23,113",7,"Two unaired episodes included in the DVD Set release of <i>Tonari no Seki-kun</i> series.#1. Field Trip (Rinkan Gakkou) (first volume)<br/>
#2. Snow Playing (Yuki Asobi) (second volume)"
100,WWW.Working!!,TV,13,Finished Airing,"Oct 1, 2016 to Dec 24, 2016",-,"<a href=""https://myanimelist.net/anime/season/2016/fall"">Fall 2016</a>",Saturdays at 23:30 (JST),"Aniplex,Yomiuri Telecasting,Lawson",add some,A-1 Pictures,Web manga,"Slice of Life,Comedy",23 min. per ep.,PG-13 - Teens 13 or older,7.51,1701,"101,965",240,"Daisuke Higashida is a serious first-year student at Higashizaka High School. He lives a peaceful everyday life even though he is not satisfied with the family who doesn't laugh at all and makes him tired. However, his father's company goes bankrupt one day, and he can no longer afford allowances, cellphone bills, and commuter tickets. When his father orders him to take up a part-time job, Daisuke decides to work at a nearby family restaurant in order to avoid traveling 15 kilometers to school by bicycle."
101,Yu☆Gi☆Oh! The Dark Side of Dimensions,Movie,1,Finished Airing,"Apr 23, 2016",-,-,-,"TV Tokyo,Nihon Ad Systems,Shueisha,Konami Digital Entertainment,Manga Entertainment",Manga Entertainment,Gallop,Manga,"Adventure,Game,Shounen",2 hr. 10 min.,PG - Children,7.51,1702,"37,699",153,"Set six months after the events of the original <i>Yu-Gi-Oh!</i> manga, Yuugi Mutou and his friends are in their final year of high school and are talking about what they will do in the future. Meanwhile, Seto Kaiba has commissioned an excavation to retrieve the disassembled Millennium Puzzle from the ruins of the ""Shrine of the Underworld."" The item had previously housed the soul of his rival, Atem, whom he hopes to revive in order to settle their score. The excavation is interrupted by a mysterious man, who faces Kaiba in a game of ""Magic &amp; Wizards"" and steals two pieces of the recovered Puzzle. What is his ulterior motive?(Source: Wikipedia, edited)"
102,Zero no Tsukaima: Princesses no Rondo,TV,12,Finished Airing,"Jul 7, 2008 to Sep 22, 2008",-,"<a href=""https://myanimelist.net/anime/season/2008/summer"">Summer 2008</a>",Mondays at Unknown,Sentai Filmworks,Sentai Filmworks,J.C.Staff,Light novel,"Action,Adventure,Harem,Comedy,Magic,Romance,Ecchi,Fantasy,School",24 min. per ep.,PG-13 - Teens 13 or older,7.51,1703,"316,016",839,"Following his brave sacrifice in the war against Albion, Saito Hiraga is knighted and treated as an aristocrat, something that proves difficult for Louise Françoise Le Blanc de La Vallière. With their relationship no longer defined as the mighty Void mage and clueless familiar, she wonders what exactly this means for them.While venturing to a castle, Louise is ambushed by a powerful mage named Sheffield. Battling alone, the young mage nearly faces defeat until Saito makes his appearance. The mystical and unknown nature of Void magic seems to be at work in the battle, and Louise begins to believe in the possibility of another Void user. Moreover, she realizes that Saito's magical rune is fading, and so a new adventure begins as they search for the elf who revived Saito in the past. The relationship between former master and servant faces a new challenge as they work to restore the runes and redefine the bond which holds them together.[Written by MAL Rewrite]"
103,Blend S,TV,12,Finished Airing,"Oct 8, 2017 to Dec 24, 2017",-,"<a href=""https://myanimelist.net/anime/season/2017/fall"">Fall 2017</a>",Sundays at 00:30 (JST),"Aniplex,Houbunsha,Kansai Telecasting,Lawson,Contents Seed,Kinoshita Group Holdings,Drecom,Aniplex of America",Aniplex of America,A-1 Pictures,4-koma manga,"Slice of Life,Comedy",23 min. per ep.,PG-13 - Teens 13 or older,7.50,1704,"290,656","1,856","Wishing to be independent, 16-year-old Maika Sakuranomiya is desperate to nail down a part-time job so that she can afford to study abroad. Unfortunately, her applications are constantly rejected due to the menacing look she unintentionally makes whenever she smiles, despite her otherwise cheerful disposition.After yet another failed interview, she chances upon Café Stile, a coffee shop where the servers interact with the customers while roleplaying distinctive characteristics. The Italian store manager, Dino, becomes infatuated with Maika's cuteness at first sight, and offers her a job as a waitress with a sadistic nature. Coupled with her inherent clumsiness, she successfully manages to serve a pair of masochistic customers in accordance with her new, ruthless persona. Alongside Kaho Minata as the tsundere and Mafuyu Hoshikawa as the younger sister, Maika decides to make the most out of her unique quirk and cements her position in the cafe with merciless cruelty![Written by MAL Rewrite]"
104,Boku no Hero Academia: Training of the Dead,OVA,1,Finished Airing,"Jun 2, 2017",-,-,-,,add some,Bones,Manga,"Action,Comedy,Super Power,School,Shounen",25 min.,PG-13 - Teens 13 or older,7.50,1705,"90,724",155,"OVA bundled with the 14th manga volume.Story about a joint practice session between Izuku's class and Isami High students at Yuuei Academy, takes place after the field training arc in the second season."
105,Chobits,TV,26,Finished Airing,"Apr 3, 2002 to Sep 25, 2002",-,"<a href=""https://myanimelist.net/anime/season/2002/spring"">Spring 2002</a>",Wednesdays at 02:20 (JST),"TBS,Pioneer LDC,Funimation,Geneon Entertainment USA",Funimation,Madhouse,Manga,"Sci-Fi,Comedy,Drama,Romance,Ecchi,Seinen",24 min. per ep.,PG-13 - Teens 13 or older,7.50,1706,"353,556","3,552","When computers start to look like humans, can love remain the same?Hideki Motosuwa is a young country boy who is studying hard to get into college. Coming from a poor background, he can barely afford the expenses, let alone the newest fad: Persocoms, personal computers that look exactly like human beings. One evening while walking home, he finds an abandoned Persocom. After taking her home and managing to activate her, she seems to be defective, as she can only say one word, ""Chii,"" which eventually becomes her name. Unlike other Persocoms, however, Chii cannot download information onto her hard drive, so Hideki decides to teach her about the world the old-fashioned way, while studying for his college entrance exams at the same time.Along with his friends, Hideki tries to unravel the mystery of Chii, who may be a ""Chobit,"" an urban legend about special units that have real human emotions and thoughts, and love toward their owner. But can romance flourish between a Persocom and a human? [Written by MAL Rewrite]"
106,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,Movie,1,Finished Airing,"Jul 16, 2012",-,-,-,"Bandai Visual,Bandai,Bandai Namco Entertainment,Hakuhodo DY Media Partners,Funimation",Funimation,Sunrise,Original,"Action,Mecha,Military,Sci-Fi",51 min.,R - 17+ (violence & profanity),7.50,1707,"130,485",521,"It is the year 2017, and Europe is being invaded by the forces of the Holy Britannian Empire. In an attempt to combat the opposition's overwhelming pressure and put an end to the massive casualties, the army forms a special unit called Wyvern, or W-0, composed of former Japanese citizens referred to as ""Elevens."" Recruited from ghettos, these young men and women pilot Knightmare frames—humanoid war machines—into dangerous operations where death awaits, hoping to make a name for themselves.When a European regiment attempting to recapture a crucial city is pinned down by the enemy, it's up to W-0 to bail them out. Among those selected for the rescue operation is Lieutenant Akito Hyuuga, known as ""Hannibal's Ghost"" due to his prowess on the battlefield. However, the supposed rescue mission becomes suicidal when, in an attempt to take out as many Britannians as possible, the commanding officer initiates the Knightmare's self-destruct sequence. In its aftermath, Akito finds that he is the last one standing…[Written by MAL Rewrite]"
