iter	RMSE
0	128.9786768
1	126.4472853
2	123.9952149
3	121.7132456
4	119.4284214
5	117.2573045
6	115.1860645
7	113.1873238
8	111.2857633
9	109.4432822
10	107.7544742
11	106.0468114
12	104.414881
13	102.880625
14	101.3493573
15	99.90286871
16	98.5844116
17	97.25601476
18	95.96008031
19	94.72541734
20	93.55126151
21	92.43442009
22	91.37631707
23	90.34182342
24	89.35318567
25	88.43392462
26	87.57405566
27	86.71260277
28	85.9073058
29	85.17455802
30	84.43184317
31	83.73295779
32	83.08125942
33	82.43842713
34	81.83040911
35	81.23032075
36	80.6751897
37	80.14076415
38	79.63442882
39	79.15816544
40	78.69939219
41	78.27607262
42	77.85552277
43	77.46756538
44	77.10165217
45	76.73025309
46	76.39565465
47	76.06739648
48	75.76612402
49	75.47104371
50	75.20114526
51	74.92303563
52	74.6806173
53	74.44125996
54	74.21518403
55	73.99019721
56	73.78325379
57	73.57310895
58	73.37912814
59	73.18457889
60	72.99055774
61	72.81023734
62	72.65008881
63	72.50316305
64	72.35130966
65	72.19354969
66	72.05328043
67	71.92364387
68	71.80059489
69	71.66193863
70	71.54935142
71	71.43995509
72	71.3328737
73	71.23559674
74	71.14412841
75	71.05258316
76	70.97090842
77	70.88240965
78	70.80435564
79	70.72996933
80	70.64451362
81	70.56608808
82	70.49692029
83	70.4279418
84	70.36559791
85	70.30265688
86	70.24821137
87	70.18760157
88	70.12984329
89	70.06815363
90	70.0149374
91	69.97212258
92	69.92496844
93	69.86315598
94	69.80951237
95	69.76408985
96	69.72255329
97	69.67950307
98	69.62700604
99	69.58999382
100	69.54325863
101	69.51301835
102	69.47276185
103	69.43446985
104	69.40465691
105	69.36950713
106	69.33017517
107	69.30102296
108	69.2651496
109	69.23228833
110	69.20456431
111	69.17709735
112	69.1423588
113	69.10022175
114	69.08173944
115	69.05411318
116	69.02351036
117	68.98590475
118	68.95337456
119	68.9235854
120	68.89580407
121	68.86266269
122	68.8292896
123	68.79969991
124	68.76991237
125	68.74592066
126	68.71457461
127	68.69731101
128	68.67644403
129	68.64935635
130	68.62898235
131	68.60955858
132	68.58501433
133	68.55833101
134	68.52747086
135	68.50681982
136	68.48055478
137	68.45780787
138	68.43901443
139	68.42507494
140	68.40361556
141	68.37847139
142	68.35658748
143	68.32771222
144	68.30561627
145	68.28856373
146	68.26864805
147	68.25583748
148	68.23918429
149	68.21819238
150	68.20424462
151	68.19118557
152	68.17440849
153	68.14961777
154	68.13939798
155	68.12094534
156	68.10660625
157	68.08524509
158	68.07355948
159	68.05488887
160	68.04685366
161	68.0313192
162	68.01619211
163	68.00020897
164	67.9867349
165	67.97569281
166	67.94988454
167	67.93558474
168	67.92594411
169	67.91160627
170	67.88688564
171	67.88139815
172	67.8727625
173	67.8626475
174	67.84716809
175	67.82248253
176	67.8004444
177	67.79072564
178	67.78418918
179	67.76929028
180	67.75069517
181	67.73997184
182	67.72609019
183	67.7123905
184	67.69814208
185	67.68990162
186	67.68548647
187	67.66822444
188	67.65662086
189	67.63919462
190	67.6267247
191	67.62021721
192	67.60855758
193	67.59714273
